Tactic call check-admit-regression-quadratic ran for 0.047 secs (0.047u,0.s) (success)
Tactic call type-admit-regression-quadratic ran for 0.039 secs (0.039u,0.s) (success)
Tactic call build-admit-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-admit-cast-regression-quadratic ran for 0.041 secs (0.041u,0.s) (success)
Tactic call type-admit-cast-regression-quadratic ran for 0.04 secs (0.04u,0.s) (success)
Tactic call build-pf-cast-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call check-pf-cast-regression-quadratic ran for 0.041 secs (0.041u,0.s) (success)
Tactic call type-pf-cast-regression-quadratic ran for 0.047 secs (0.043u,0.003s) (success)
Tactic call refine-regression-quadratic-regression-linear ran for 0.042 secs (0.042u,0.s) (success)
Tactic call fast_rewrite-regression-quadratic ran for 0.378 secs (0.374u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.459 secs (0.455u,0.003s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.08 secs (0.08u,0.s)
