param-n,cbn-regression-cubic-real,cbv-regression-quadratic-real,lazy-regression-quadratic-real,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,simpl-regression-cubic-real,vm-compute-regression-quadratic-real
5569,,,,0.09403,0.00031,0.09034,0.00643,0.191,0.09500,0.00030,0.09556,0.00627,0.197,,
5620,,,,,,,,,,,,,,,0.664
5683,,,,0.09432,0.00027,0.09107,0.00664,0.192,0.09579,0.00030,0.09404,0.00672,0.197,,
5693,,9.831,,,,,,,,,,,,,
5750,,,,,,,,,,,,,,,0.695
5796,,,,0.09948,0.00027,0.09391,0.00678,0.2,0.09208,0.00030,0.09672,0.00663,0.195,,
5881,,,,,,,,,,,,,,,0.722
5910,,,,0.09575,0.00029,0.09828,0.00663,0.201,0.09262,0.00028,0.09759,0.00672,0.197,,
6012,,,,,,,,,,,,,,,0.755
6034,,,,,,,,,,,,,,,0.758
6142,,,,,,,,,,,,,,,0.791
6221,,,,0.09200,0.00027,0.10724,0.00725,0.206,0.10162,0.00030,0.11312,0.00717,0.222,,
6273,,,,,,,,,,,,,,,0.823
6532,,,,0.10290,0.00027,0.11529,0.00738,0.226,0.09735,0.00031,0.12107,0.00749,0.226,,
6843,,,,0.09580,0.00027,0.12768,0.00797,0.231,0.09275,0.00028,0.13872,0.00796,0.239,,
6900,,,,,,,,,,,,,,,0.987
7154,,,,0.09489,0.00029,0.14125,0.00825,0.244,0.09656,0.00030,0.14662,0.01273,0.256,,
7346,,,,0.09375,0.00027,0.15767,0.00874,0.26,0.09017,0.00030,0.16081,0.00806,0.259,,
7465,,,,0.10679,0.00027,0.16272,0.00868,0.278,0.09486,0.00031,0.15670,0.00848,0.26,,
7527,,,,,,,,,,,,,,,1.169
7776,,,,0.09093,0.00027,0.16880,0.00879,0.268,0.09563,0.00033,0.17248,0.00910,0.277,,
8045,,,,,,,,,,,,,,,1.33
8087,,,,0.09602,0.00029,0.19067,0.00933,0.296,0.09663,0.00031,0.19365,0.00922,0.299,,
8154,,,,,,,,,,,,,,,1.372
8398,,,,0.09268,0.00033,0.19493,0.00938,0.297,0.09621,0.00028,0.20752,0.00921,0.313,,
8709,,,,0.09626,0.00031,0.20898,0.01145,0.317,0.09613,0.00031,0.21217,0.00965,0.318,,
8781,,,,,,,,,,,,,,,1.576
9019,,,,0.09608,0.00029,0.22000,0.01050,0.327,0.10077,0.00033,0.24660,0.01189,0.359,,
9330,,,,0.09166,0.00029,0.23442,0.01232,0.338,0.09589,0.00028,0.24668,0.01051,0.353,,
9409,,,,,,,,,,,,,,,1.822
9641,,,,0.09716,0.00030,0.25114,0.01145,0.36,0.09990,0.00031,0.26609,0.01087,0.377,,
9952,,,,0.10008,0.00027,0.27061,0.01160,0.382,0.09808,0.00034,0.28493,0.01171,0.395,,
10036,,,,,,,,,,,,,,,2.075
10056,,,,,,,,,,,,,,,2.081
10263,,,,0.09861,0.00029,0.28635,0.01160,0.397,0.09926,0.00029,0.30174,0.01201,0.413,,
10574,,,,0.09503,0.00030,0.29446,0.01182,0.401,0.09429,0.00029,0.30206,0.01212,0.408,,
10663,,,,,,,,,,,,,,,2.326
10885,,,,0.09497,0.00029,0.31308,0.01270,0.421,0.09664,0.00030,0.33256,0.01238,0.442,,
11017,,,,0.09160,0.00027,0.32625,0.01408,0.432,0.09259,0.00030,0.33991,0.01392,0.446,,
11196,,,,0.09213,0.00030,0.33090,0.01310,0.436,0.09801,0.00031,0.34076,0.01259,0.451,,
11290,,,,,,,,,,,,,,,2.602
11507,,,,0.09505,0.00029,0.35113,0.01286,0.459,0.09778,0.00031,0.36287,0.01877,0.479,,
11818,,,,0.09680,0.00029,0.37256,0.01720,0.487,0.09775,0.00030,0.37487,0.01597,0.489,,
11917,,,,,,,,,,,,,,,2.923
12544,,,,,,,,,,,,,,,3.275
13000,,,,0.09470,0.00029,0.45101,0.01504,0.561,0.09825,0.00031,0.45712,0.01512,0.57,,
14181,,,,0.09525,0.00029,0.52471,0.01609,0.636,0.09771,0.00031,0.53973,0.01598,0.653,,
14689,,,,0.09174,0.00028,0.58224,0.01667,0.691,0.08843,0.00028,0.58504,0.01666,0.69,,
15052,,,,,,,,,,,,,,,4.613
15363,,,,0.09800,0.00027,0.62325,0.01749,0.739,0.09610,0.00029,0.64204,0.01698,0.755,,
16544,,,,0.10664,0.00029,0.73219,0.01886,0.858,0.09555,0.00031,0.74013,0.01860,0.854,,
17561,,,,,,,,,,,,,,,6.227
17726,,,,0.09821,0.00029,0.84007,0.02179,0.96,0.09359,0.00031,0.83728,0.02081,0.952,,
18361,,,,0.09472,0.00028,0.88020,0.02103,0.996,0.09248,0.00031,0.87098,0.02041,0.984,,
