param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
193,193,1,,,,,,,,,,,,,,,,,0.086,0.003,0.082,,,,,,,,,,,,
202,1,202,0.692,0.,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,202,1,0.402,0.,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1,203,,,,,,,,,,,,,,,,,0.174,0.,0.174,,,,,,,,,,,,
203,203,1,,,,,,,,,,,,,,,,,0.091,0.,0.091,,,,,,,,,,,,
207,1,207,,,,,,,,,,0.08971,0.00072,0.00032,0.00082,0.091,0.,0.005,,,,,,,,,,,,,,,
207,207,1,,,,,,,,,,0.09072,0.00042,0.00107,0.00131,0.093,0.006,0.,,,,,,,,,,,,,,,
210,1,210,0.77,0.021,0.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,14,15,0.025,0.,0.025,,,,,,,0.08751,0.00169,0.00036,0.00089,0.09,0.006,0.,0.025,0.,0.025,0.001,0.,0.001,,,,,,,,,
210,210,1,0.411,0.003,0.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,214,,,,,,,,,,,,,,,,,0.206,0.,0.206,,,,,,,,,,,,
214,214,1,,,,,,,,,,,,,,,,,0.083,0.,0.083,,,,,,,,,,,,
221,1,221,,,,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
221,221,1,,,,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
224,1,224,0.777,0.,0.777,,,,,,,,,,,,,,0.213,0.,0.213,,,,,,,,,,,,
224,224,1,0.471,0.,0.471,,,,,,,,,,,,,,0.09,0.,0.09,,,,,,,,,,,,
234,1,234,,,,,,,,,,,,,,,,,0.215,0.,0.215,,,,,,,,,,,,
234,234,1,,,,,,,,,,,,,,,,,0.092,0.,0.092,,,,,,,,,,,,
239,1,239,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
239,239,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
240,15,16,0.03,0.,0.03,0.,0.,0.,0.,0.,0.,,,,,,,,0.034,0.,0.034,,,,,,,,,,,,
245,1,245,,,,,,,,,,,,,,,,,0.241,0.003,0.238,,,,,,,,,,,,
245,245,1,,,,,,,,,,,,,,,,,0.095,0.,0.095,,,,,,,,,,,,
247,1,247,0.828,0.,0.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,1,0.491,0.,0.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1,255,,,,,,,,,,,,,,,,,0.262,0.,0.262,,,,,,,,,,,,
255,255,1,,,,,,,,,,,,,,,,,0.1,0.,0.1,,,,,,,,,,,,
257,1,257,,,,,,,,,,0.09192,0.00053,0.00029,0.00109,0.094,0.,0.005,,,,0.001,0.,0.001,,,,,,,,,
257,257,1,,,,,,,,,,0.08898,0.00044,0.00030,0.00143,0.091,0.003,0.003,,,,0.002,0.,0.002,,,,,,,,,
269,1,269,1.168,0.,1.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,1,0.719,0.003,0.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,16,17,0.035,0.,0.035,,,,,,,0.08516,0.00051,0.00032,0.00120,0.087,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
291,1,291,,,,,,,,,,,,,,,,,0.329,0.003,0.325,,,,,,,,,,,,
291,291,1,,,,,,,,,,,,,,,,,0.152,0.,0.152,,,,,,,,,,,,
293,1,293,,,,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
293,293,1,,,,,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,
297,1,297,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
297,297,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
306,17,18,,,,0.,0.,0.,0.,0.,0.,0.09080,0.00045,0.00029,0.00134,0.093,0.,0.005,0.036,0.,0.036,0.001,0.,0.001,,,,,,,,,
307,1,307,,,,,,,,,,0.09171,0.00042,0.00031,0.00132,0.093,0.003,0.002,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.08456,0.00049,0.00032,0.00161,0.087,0.,0.005,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,,,,,0.381,0.,0.381,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,,,,,0.184,0.,0.184,,,,,,,,,,,,
329,1,329,,,,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
329,329,1,,,,,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,
336,1,336,1.603,0.004,1.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.975,0.,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,18,19,0.044,0.,0.044,0.,0.,0.,0.,0.,0.,0.08456,0.00052,0.00029,0.00154,0.087,0.,0.005,0.042,0.,0.042,0.002,0.,0.002,,,,,,,,,
355,1,355,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
355,355,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
357,1,357,,,,,,,,,,0.08665,0.00052,0.00032,0.00184,0.089,0.,0.006,,,,,,,,,,,,,,,
357,357,1,,,,,,,,,,0.08718,0.00054,0.00031,0.00185,0.09,0.004,0.002,,,,,,,,,,,,,,,
364,1,364,,,,,,,,,,,,,,,,,0.488,0.,0.488,,,,,,,,,,,,
364,364,1,,,,,,,,,,,,,,,,,0.214,0.,0.214,,,,,,,,,,,,
365,1,365,,,,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
365,365,1,,,,,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,
380,19,20,,,,,,,,,,,,,,,,,0.042,0.,0.042,0.002,0.,0.002,,,,,,,,,
400,1,400,,,,,,,,,,,,,,,,,0.617,0.,0.617,,,,,,,,,,,,
400,20,20,,,,,,,,,,,,,,,,,0.045,0.,0.045,,,,,,,,,,,,
400,400,1,,,,,,,,,,,,,,,,,0.283,0.,0.283,,,,,,,,,,,,
401,1,401,,,,,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,
401,401,1,,,,,,,,,,,,,,,,,,,,0.003,0.,0.002,,,,,,,,,
402,1,402,,,,,,,,,,,,,,,,,0.618,0.011,0.607,,,,,,,,,,,,
402,402,1,,,,,,,,,,,,,,,,,0.284,0.,0.283,,,,,,,,,,,,
404,1,404,2.604,0.,2.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,404,1,1.594,0.003,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,1,407,,,,,,,,,,0.08762,0.00043,0.00038,0.00192,0.09,0.003,0.002,,,,,,,,,,,,,,,
407,407,1,,,,,,,,,,0.09647,0.00045,0.00037,0.00231,0.099,0.003,0.004,,,,,,,,,,,,,,,
413,1,413,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
413,413,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
414,1,414,2.55,0.,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
