param-0-nm,param-1-n,param-2-m,param-3-input-size,param-4-output-size,param-5-num-rewrites,autorewrite-regression-cubic-real,rewrite!-regression-cubic-real,rewrite-strat(bottomup)-regression-cubic-real,rewrite-strat(topdown)-regression-cubic-real,setoid-rewrite-regression-cubic-real,ssr-rewrite!-regression-cubic-real
150,0,150,303,3,150,,,,0.132,,
150,1,50,307,7,150,,,,0.107,,
150,3,10,331,31,150,0.029,0.03,0.314,0.066,0.141,0.059
151,0,151,305,3,151,0.109,0.117,,0.134,,
152,0,152,307,3,152,,,,0.136,,
153,0,153,309,3,153,,,,0.144,,
153,1,51,313,7,153,0.073,0.08,,0.112,,
154,0,154,311,3,154,0.116,,,0.166,,
154,2,22,323,15,154,0.048,0.05,,0.085,,
155,0,155,313,3,155,,,,0.155,,
155,4,5,373,63,155,0.02,0.02,0.32,0.059,0.124,0.043
156,0,156,315,3,156,,,,0.171,,
156,1,52,319,7,156,,,,0.116,,
157,0,157,317,3,157,0.127,0.129,,0.139,,
158,0,158,319,3,158,,,,0.146,,
159,0,159,321,3,159,,,,0.145,,
159,1,53,325,7,159,0.078,0.089,,0.124,,
160,0,160,323,3,160,0.123,,,0.158,,
161,0,161,325,3,161,,,,0.147,0.282,
161,2,23,337,15,161,0.053,0.052,,0.092,,
162,0,162,327,3,162,,,,0.146,,
162,1,54,331,7,162,,,,0.122,,
163,0,163,329,3,163,0.138,0.127,,0.15,,
164,0,164,331,3,164,,,,0.148,,
165,0,165,333,3,165,,,,0.154,,
165,1,55,337,7,165,0.084,0.095,,0.134,,
165,3,11,361,31,165,0.033,0.035,0.38,0.075,0.175,0.069
166,0,166,335,3,166,0.134,,,0.153,,
167,0,167,337,3,167,,,,0.158,,
168,0,168,339,3,168,,,,0.154,,
168,1,56,343,7,168,,,,0.132,,
168,2,24,351,15,168,0.055,0.056,,0.102,,
169,0,169,341,3,169,0.143,0.145,,0.16,,
170,0,170,343,3,170,0.133,,,,,0.277
171,0,171,345,3,171,,0.134,,,,
171,1,57,349,7,171,0.09,0.102,,0.148,0.273,0.21
175,2,25,365,15,175,0.062,0.071,,0.113,0.223,
180,3,12,391,31,180,0.041,0.041,0.442,0.097,0.199,0.087
182,2,26,379,15,182,,,,,,0.16
186,4,6,435,63,186,0.028,0.026,,0.082,,0.066
189,5,3,505,127,189,0.019,0.019,,0.09,0.147,0.042
193,0,193,389,3,193,,,,,0.412,
195,3,13,421,31,195,,0.048,0.527,,0.23,0.1
197,0,197,397,3,197,,,,0.207,,
199,0,199,401,3,199,0.183,,,,,
200,0,200,403,3,200,,0.182,,,,
204,0,204,411,3,204,,,,,,0.391
204,1,68,415,7,204,,,,0.206,,0.294
207,1,69,421,7,207,0.131,,,,,
210,2,30,435,15,210,,,,0.153,,
210,3,14,451,31,210,,0.055,0.603,,0.259,0.114
213,1,71,433,7,213,,,,,0.409,
216,1,72,439,7,216,,0.15,,,,
217,2,31,449,15,217,0.093,,,,0.336,
217,4,7,497,63,217,,,0.565,0.099,0.211,0.082
224,2,32,463,15,224,,,,,,0.228
225,0,225,453,3,225,,,,0.302,0.528,
225,3,15,481,31,225,,0.062,0.681,0.138,0.295,0.13
228,0,228,459,3,228,0.236,,,,,
229,0,229,461,3,229,,0.236,,,,
231,2,33,477,15,231,,0.108,,,,
237,1,79,481,7,237,,,,0.309,,0.392
238,0,238,479,3,238,,,,,,0.527
240,3,16,511,31,240,0.064,0.07,0.757,,0.325,0.15
243,1,81,493,7,243,0.191,,,,,
245,2,35,505,15,245,,,,0.213,,
248,4,8,559,63,248,0.043,,,0.123,,0.097
252,5,4,631,127,252,0.03,0.028,,0.123,0.228,0.071
253,0,253,509,3,253,,,,0.374,,
254,6,2,763,255,254,0.023,0.021,,0.121,0.206,0.046
255,1,85,517,7,255,,,,,0.541,
255,3,17,541,31,255,,0.088,0.82,,0.357,0.164
255,7,1,1021,511,255,0.026,0.018,0.464,0.144,0.202,0.033
