param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbv-regression-quadratic-real,cps+lazy-regression-quadratic-real,cps+native-compute-regression-quadratic-real,cps+simpl-regression-quadratic-real,cps+vm-compute-regression-quadratic-real,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-real,setoid-rewrite-regression-cubic-real
1260,1,1260,,,,0.099,,,,,
1260,35,36,,0.002,0.002,0.091,,0.006,,,
1260,1260,1,,,,0.097,,,,,
1262,1,1262,,,,,,0.006,,,
1262,1262,1,,,,,,0.008,,,
1270,1,1270,,,,0.089,,,,,
1270,1270,1,,,,0.099,,,,,
1286,1,1286,,0.008,0.006,,,,,,
1286,1286,1,,0.004,0.011,,,,,,
1298,1,1298,,,,,,0.009,,,
1298,1298,1,,,,,,0.008,,,
1310,1,1310,,,,0.11,,,,,
1310,1310,1,,,,0.105,,,,,
1332,36,37,,0.002,0.003,0.093,,0.006,,,
1334,1,1334,,,,,,0.006,,,
1334,1334,1,,,,,,0.008,,,
1344,1,1344,,0.005,0.006,,,,,,
1344,1344,1,,0.004,0.005,,,,,,
1361,1,1361,,,,0.094,,,,,
1361,1361,1,,,,0.095,,,,,
1369,1,1369,,,,,,0.007,,,
1369,37,37,,,,,,0.006,,,
1369,1369,1,,,,,,0.008,,,
1403,1,1403,,0.005,0.006,,,,,,
1403,1403,1,,0.004,0.005,,,,,,
1405,1,1405,,,,,,0.007,,,
1405,1405,1,,,,,,0.014,,,
1406,37,38,,0.002,0.003,0.095,,0.006,,,
1411,1,1411,,,,0.096,,,,,
1411,1411,1,,,,0.102,,,,,
1441,1,1441,,,,,,0.007,,,
1441,1441,1,,,,,,0.009,,,
1461,1,1461,,0.005,0.015,0.1,,,,,
1461,1461,1,,0.004,0.005,0.096,,,,,
1477,1,1477,,,,,,0.007,,,
1477,1477,1,,,,,,0.009,,,
1482,38,39,,0.002,0.003,0.101,,0.007,,,
1511,1,1511,,,,0.094,,,,,
1511,1511,1,,,,0.097,,,,,
1513,1,1513,,,,,,0.007,,,
1513,1513,1,,,,,,0.009,,,
1519,1,1519,,0.005,0.007,,,,,,
1519,1519,1,,0.004,0.006,,,,,,
1526,1,1526,,,,,5.955,,,,
1526,1526,1,,,,,2.812,,,,
1549,1,1549,,,,,,0.009,,,
1549,1549,1,,,,,,0.01,,,
1560,39,40,,0.003,0.003,0.094,0.175,0.013,,,
1561,1,1561,,,,0.091,,,,,
1561,1561,1,,,,0.095,,,,,
1577,1,1577,,0.006,0.007,,,,,,
1577,1577,1,,0.005,0.02,,,,,,
1579,1,1579,,,,,,0.007,,,
1579,1579,1,,,,,,0.01,,,
1585,1,1585,,,,,,0.008,,,
1585,1585,1,,,,,,0.01,,,
1611,1,1611,,,,0.094,,,,,
1611,1611,1,,,,0.099,,,,,
1621,1,1621,,,,,,0.008,,,
1621,1621,1,,,,,,0.016,,,
1635,1,1635,,0.006,0.007,,,,,,
1635,1635,1,,0.005,0.006,,,,,,
1640,40,41,,0.003,0.003,0.096,,0.008,,,
1644,1,1644,,,,,,0.008,,,
1644,1644,1,,,,,,0.01,,,
1657,1,1657,,,,,,0.008,,,
1657,1657,1,,,,,,0.01,,,
1662,1,1662,,,,0.113,,,,,
1662,1662,1,,,,0.099,,,,,
1692,1,1692,,,,0.101,,,,,
1692,1692,1,,,,0.095,,,,,
1693,1,1693,,,,,,0.008,,,
1693,1693,1,,,,,,0.01,,,
1694,1,1694,,0.011,0.008,,,,,,
1694,1694,1,,0.005,0.006,,,,,,
1710,1,1710,,,,,,0.008,,,
1710,1710,1,,,,,,0.011,,,
1712,1,1712,,,,0.096,,,,,
1712,1712,1,,,,0.098,,,,,
1722,41,42,,0.003,0.003,0.095,,0.019,,,
1729,1,1729,,,,,,0.008,,,
1729,1729,1,,,,,,0.011,,,
1752,1,1752,,0.006,0.011,,,,,,
1752,1752,1,,0.005,0.006,,,,,,
1762,1,1762,,,,0.098,,,,,
1762,1762,1,,,,0.099,,,,,
1765,1,1765,,,,,,0.008,,,
1765,1765,1,,,,,,0.01,,,
1776,1,1776,,,,,,0.009,,,
1776,1776,1,,,,,,0.011,,,
1801,1,1801,,,,,,0.008,,,
1801,1801,1,,,,,,0.011,,,
1806,42,43,,0.003,0.004,0.099,,0.008,,,
1810,1,1810,,0.007,0.008,,,,,,
1810,1810,1,,0.005,0.007,,,,,,
1812,1,1812,,,,0.096,,,,,
1812,1812,1,,,,0.099,,,,,
1837,1,1837,,,,,,0.009,,,
1837,1837,1,,,,,,0.011,,,
1842,1,1842,,,,,,0.009,,,
1842,1842,1,,,,,,0.012,,,
1862,1,1862,,,,0.106,,,,,
1862,1862,1,,,,0.101,,,,,
1868,1,1868,,0.016,0.013,,,,,,
1868,1868,1,,0.005,0.007,,,,,,
1873,1,1873,,,,,,0.009,,,
1873,1873,1,,,,,,0.02,,,
1892,43,44,,0.003,0.004,0.099,,0.009,,,
1907,1,1907,,,,,,0.009,,,
1907,1907,1,,,,,,0.014,,,
1909,1,1909,,,,,,0.009,,,
1909,1909,1,,,,,,0.012,,,
1912,1,1912,,,,0.093,,,,,
1912,1912,1,,,,0.1,,,,,
1926,1,1926,,0.006,0.009,,,,,,
1926,1926,1,,0.006,0.007,,,,,,
1945,1,1945,,,,,,0.009,,,
1945,1945,1,,,,,,0.012,,,
1963,1,1963,,,,0.098,,,,,
1963,1963,1,,,,0.103,,,,,
1973,1,1973,,,,,,0.009,,,
1973,1973,1,,,,,,0.012,,,
1980,44,45,,0.003,0.004,0.115,,0.009,,,
1981,1,1981,,,,,,0.009,,,
1981,1981,1,,,,,,0.012,,,
1984,1,1984,,0.007,0.019,,,,,,
1984,1984,1,,0.006,0.007,,,,,,
2013,1,2013,,,,0.099,,,,,
2013,2013,1,,,,0.109,,,,,
2017,1,2017,,,,,,0.025,,,
2017,2017,1,,,,,,0.012,,,
2034,1,2034,,,,,10.164,,,,
2034,2034,1,,,,,4.98,,,,
2039,1,2039,,,,,,0.01,,,
2039,2039,1,,,,,,0.013,,,
2043,1,2043,,0.009,0.009,,,,,,
2043,2043,1,,0.006,0.008,,,,,,
2053,1,2053,,,,,,0.01,,,
2053,2053,1,,,,,,0.012,,,
2063,1,2063,,,,0.097,,,,,
2063,2063,1,,,,0.101,,,,,
2070,45,46,,0.003,0.004,0.094,0.263,0.014,,,
2089,1,2089,,,,,,0.01,,,
2089,2089,1,,,,,,0.013,,,
2101,1,2101,,0.007,0.023,,,,,,
2101,2101,1,,0.006,0.008,,,,,,
2105,1,2105,,,,,,0.01,,,
2105,2105,1,,,,,,0.013,,,
2113,1,2113,,,,0.099,,,,,
2113,2113,1,,,,0.109,,,,,
2125,1,2125,,,,,,0.015,,,
2125,2125,1,,,,,,0.013,,,
2159,1,2159,,0.008,0.009,,,,,,
2159,2159,1,,0.012,0.008,,,,,,
2161,1,2161,,,,,,0.01,,,
