param-n,abstract-regression-quadratic-real,build-I-regression-linear-real,build-admit-cast-regression-linear-real,build-admit-regression-linear-real,build-eval-thunk-regression-linear-real,build-pf-cast-regression-linear-real,build-thunk-regression-linear-real,check-I-regression-linear-real,check-admit-cast-regression-quadratic-real,check-admit-regression-quadratic-real,check-pf-cast-regression-quadratic-real,close-abstract-regression-quadratic-real,eval-thunk-regression-linear-real,fast-rewrite-regression-quadratic-real,refine-regression-quadratic-regression-linear-real,type-I-regression-linear-real,type-admit-cast-regression-quadratic-real,type-admit-regression-quadratic-real,type-pf-cast-regression-quadratic-real
1100,1.793,0.01,0.01,0.009,0.124,0.012,0.123,0.024,0.166,0.174,0.161,0.395,0.001,1.396,0.173,0.018,0.17,0.168,0.17
1200,2.091,0.022,0.011,0.016,0.126,0.011,0.125,0.02,0.205,0.191,0.199,0.443,0.001,1.647,0.205,0.02,0.208,0.2,0.205
1300,2.422,0.011,0.013,0.011,0.136,0.011,0.135,0.03,0.239,0.226,0.239,0.525,0.001,1.895,0.232,0.02,0.247,0.225,0.248
1400,2.789,0.013,0.016,0.012,0.155,0.012,0.154,0.024,0.281,0.258,0.277,0.591,0.001,2.195,0.297,0.028,0.273,0.275,0.266
1500,3.251,0.013,0.013,0.018,0.158,0.015,0.157,0.027,0.33,0.306,0.353,0.689,0.001,2.56,0.262,0.025,0.356,0.312,0.364
1600,3.875,0.014,0.014,0.014,0.185,0.022,0.184,0.027,0.305,0.397,0.391,0.77,0.001,3.103,0.419,0.034,0.432,0.442,0.4
1700,4.553,0.015,0.015,0.019,0.198,0.015,0.196,0.036,0.435,0.463,0.472,0.874,0.001,3.677,0.55,0.029,0.467,0.475,0.481
1800,5.271,0.024,0.016,0.016,0.19,0.016,0.188,0.03,0.659,0.505,0.575,0.967,0.001,4.301,0.512,0.037,0.571,0.504,0.639
1900,6.162,0.017,0.02,0.021,0.206,0.019,0.204,0.041,0.688,0.426,0.79,1.079,0.001,5.08,0.611,0.032,0.705,0.7,0.796
2000,7.184,0.018,0.018,0.018,0.215,0.018,0.214,0.035,0.934,0.934,0.848,1.24,0.001,5.937,0.442,0.042,0.857,0.816,0.734
2500,13.896,0.027,0.026,0.023,0.305,0.023,0.303,0.058,1.696,1.68,1.682,1.819,0.002,12.074,1.686,0.053,1.784,1.504,1.519
3000,21.115,0.04,0.027,0.027,0.328,0.027,0.326,0.059,2.824,2.094,2.505,2.611,0.002,18.501,2.56,0.056,2.738,2.481,2.727
