param-n,autorewrite-noop-regression-quadratic-real,autorewrite-noop-regression-quadratic-sys,autorewrite-noop-regression-quadratic-user,try-rewrite!-noop-regression-quadratic-real,try-rewrite!-noop-regression-quadratic-sys,try-rewrite!-noop-regression-quadratic-user,try-rewrite-noop-regression-quadratic-real,try-rewrite-noop-regression-quadratic-sys,try-rewrite-noop-regression-quadratic-user,try-rewrite?-noop-regression-quadratic-real,try-rewrite?-noop-regression-quadratic-sys,try-rewrite?-noop-regression-quadratic-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
600,0.016,0.,0.016,0.017,0.,0.017,0.019,0.,0.019,0.017,0.,0.017,0.,0.,0.,0.,0.,0.,0.,0.,0.
604,0.016,0.,0.016,0.017,0.,0.017,0.017,0.,0.017,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.
608,0.017,0.,0.017,0.017,0.,0.017,0.018,0.,0.018,0.018,0.,0.018,0.,0.,0.,0.,0.,0.,0.,0.,0.
612,0.019,0.,0.019,0.018,0.,0.018,0.018,0.,0.018,0.018,0.,0.018,0.,0.,0.,0.,0.,0.,0.,0.,0.
616,0.019,0.,0.019,0.02,0.,0.02,0.019,0.,0.019,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.
620,0.019,0.,0.019,0.019,0.,0.019,0.021,0.,0.021,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.,0.,0.
624,0.019,0.,0.019,0.018,0.,0.018,0.019,0.,0.019,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.,0.,0.
628,0.019,0.,0.019,0.019,0.,0.019,0.02,0.,0.02,0.021,0.,0.021,0.,0.,0.,0.,0.,0.,0.,0.,0.
632,0.019,0.,0.019,0.02,0.,0.02,0.019,0.,0.019,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.
636,0.021,0.,0.021,0.02,0.,0.02,0.02,0.,0.02,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.,0.,0.
640,0.022,0.,0.022,0.019,0.,0.019,0.02,0.,0.02,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.,0.,0.
644,0.021,0.,0.021,0.023,0.,0.023,0.02,0.,0.02,0.023,0.,0.023,0.,0.,0.,0.,0.,0.,0.,0.,0.
