param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
78,0.164,0.,0.164,0.093,0.,0.093,0.03,0.,0.03,0.025,0.,0.025,0.131,0.,0.131,0.001,0.,0.001,0.066,0.,0.066,0.001,0.,0.001
79,0.173,0.,0.173,0.1,0.,0.1,0.034,0.,0.034,0.028,0.,0.028,0.137,0.,0.137,0.001,0.,0.001,0.069,0.,0.068,0.001,0.,0.001
80,0.171,0.,0.171,0.093,0.,0.093,0.036,0.,0.036,0.021,0.,0.021,0.132,0.,0.132,0.001,0.,0.001,0.07,0.,0.07,0.001,0.,0.001
81,0.178,0.,0.178,0.109,0.,0.109,0.033,0.,0.033,0.022,0.,0.022,0.142,0.,0.142,0.001,0.,0.001,0.084,0.,0.084,0.001,0.,0.001
82,0.185,0.,0.185,0.11,0.,0.11,0.037,0.,0.037,0.026,0.,0.026,0.145,0.,0.145,0.001,0.,0.001,0.081,0.,0.081,0.001,0.,0.001
83,0.184,0.,0.184,0.108,0.,0.108,0.031,0.,0.031,0.028,0.,0.028,0.151,0.,0.151,0.001,0.,0.001,0.077,0.,0.077,0.001,0.,0.001
84,0.192,0.,0.192,0.109,0.,0.109,0.039,0.,0.039,0.027,0.,0.027,0.15,0.,0.15,0.001,0.,0.001,0.079,0.,0.079,0.001,0.,0.001
85,0.21,0.003,0.206,0.109,0.,0.109,0.042,0.,0.042,0.029,0.,0.029,0.165,0.003,0.162,0.001,0.,0.001,0.077,0.,0.077,0.001,0.,0.001
86,0.201,0.004,0.197,0.11,0.,0.11,0.037,0.,0.037,0.028,0.,0.028,0.16,0.003,0.156,0.001,0.,0.001,0.079,0.,0.079,0.001,0.,0.001
87,0.206,0.,0.206,0.112,0.,0.112,0.043,0.,0.043,0.028,0.,0.028,0.161,0.,0.161,0.001,0.,0.001,0.081,0.,0.081,0.001,0.,0.001
88,0.217,0.,0.217,0.117,0.,0.117,0.043,0.,0.043,0.031,0.,0.031,0.171,0.,0.171,0.001,0.,0.001,0.083,0.,0.083,0.001,0.,0.001
89,0.207,0.,0.207,0.118,0.,0.118,0.035,0.,0.035,0.031,0.,0.031,0.169,0.,0.169,0.001,0.,0.001,0.085,0.,0.084,0.001,0.,0.001
90,0.225,0.002,0.222,0.119,0.,0.119,0.047,0.,0.047,0.03,0.,0.03,0.175,0.001,0.173,0.001,0.,0.001,0.085,0.,0.085,0.001,0.,0.001
91,0.225,0.,0.225,0.119,0.,0.119,0.048,0.,0.048,0.029,0.,0.029,0.174,0.,0.174,0.001,0.,0.001,0.087,0.,0.087,0.001,0.,0.001
92,0.244,0.003,0.24,0.126,0.003,0.122,0.047,0.,0.047,0.033,0.003,0.03,0.195,0.003,0.191,0.001,0.,0.001,0.089,0.,0.089,0.001,0.,0.001
93,0.231,0.,0.231,0.134,0.,0.134,0.047,0.,0.047,0.034,0.,0.034,0.181,0.,0.181,0.001,0.,0.001,0.096,0.,0.096,0.001,0.,0.001
94,0.237,0.,0.237,0.14,0.,0.14,0.039,0.,0.039,0.028,0.,0.028,0.195,0.,0.195,0.001,0.,0.001,0.109,0.,0.109,0.001,0.,0.001
95,0.249,0.,0.249,0.136,0.003,0.132,0.049,0.,0.049,0.029,0.,0.029,0.197,0.,0.197,0.001,0.,0.001,0.103,0.003,0.099,0.001,0.,0.001
96,0.257,0.,0.257,0.136,0.,0.136,0.052,0.,0.052,0.032,0.,0.032,0.202,0.,0.202,0.001,0.,0.001,0.101,0.,0.101,0.001,0.,0.001
97,0.274,0.003,0.27,0.148,0.,0.148,0.055,0.,0.055,0.037,0.,0.037,0.216,0.003,0.212,0.001,0.,0.001,0.108,0.,0.108,0.001,0.,0.001
98,0.271,0.,0.271,0.145,0.,0.145,0.05,0.,0.05,0.041,0.,0.041,0.218,0.,0.218,0.001,0.,0.001,0.101,0.,0.101,0.001,0.,0.001
99,0.284,0.003,0.28,0.153,0.003,0.149,0.045,0.,0.045,0.032,0.,0.032,0.236,0.003,0.232,0.001,0.,0.001,0.117,0.003,0.114,0.001,0.,0.001
100,0.267,0.,0.266,0.151,0.,0.151,0.056,0.,0.056,0.042,0.,0.042,0.208,0.,0.208,0.001,0.,0.001,0.106,0.,0.106,0.001,0.,0.001
110,0.322,0.003,0.318,0.181,0.,0.181,0.066,0.,0.066,0.042,0.,0.042,0.253,0.003,0.249,0.001,0.,0.001,0.135,0.,0.135,0.001,0.,0.001
120,0.385,0.003,0.381,0.22,0.,0.22,0.076,0.,0.076,0.051,0.,0.051,0.305,0.003,0.301,0.001,0.,0.001,0.165,0.,0.165,0.001,0.,0.001
130,0.457,0.003,0.453,0.25,0.,0.25,0.097,0.003,0.093,0.059,0.,0.059,0.356,0.,0.356,0.001,0.,0.001,0.187,0.,0.187,0.002,0.,0.002
140,0.516,0.,0.516,0.296,0.007,0.288,0.097,0.,0.097,0.072,0.004,0.068,0.415,0.,0.415,0.002,0.,0.002,0.22,0.003,0.216,0.002,0.,0.002
150,0.666,0.007,0.659,0.416,0.003,0.412,0.125,0.,0.125,0.083,0.,0.083,0.538,0.007,0.53,0.002,0.,0.002,0.33,0.003,0.326,0.002,0.,0.002
160,0.732,0.,0.732,0.378,0.,0.378,0.151,0.,0.151,0.086,0.,0.086,0.577,0.,0.577,0.002,0.,0.002,0.287,0.,0.287,0.002,0.,0.002
170,0.801,0.,0.801,0.478,0.003,0.475,0.16,0.,0.16,0.123,0.003,0.119,0.637,0.,0.637,0.002,0.,0.002,0.351,0.,0.351,0.002,0.,0.002
180,0.859,0.007,0.85,0.539,0.004,0.535,0.158,0.003,0.154,0.137,0.,0.137,0.696,0.003,0.691,0.003,0.,0.003,0.397,0.003,0.393,0.003,0.,0.003
190,0.959,0.007,0.951,0.553,0.003,0.549,0.182,0.004,0.178,0.119,0.,0.119,0.772,0.003,0.768,0.003,0.,0.003,0.428,0.003,0.424,0.003,0.,0.003
200,1.08,0.007,1.072,0.625,0.011,0.613,0.197,0.003,0.194,0.153,0.004,0.149,0.878,0.004,0.874,0.003,0.,0.003,0.468,0.007,0.46,0.003,0.,0.003
210,1.148,0.003,1.144,0.677,0.003,0.673,0.211,0.,0.211,0.161,0.,0.161,0.932,0.003,0.927,0.003,0.,0.003,0.51,0.003,0.506,0.003,0.,0.003
220,1.343,0.,1.342,0.739,0.003,0.735,0.258,0.,0.258,0.172,0.,0.172,1.078,0.,1.078,0.004,0.,0.004,0.56,0.003,0.556,0.004,0.,0.004
230,1.397,0.,1.397,0.813,0.,0.813,0.259,0.,0.259,0.194,0.,0.194,1.131,0.,1.131,0.004,0.,0.004,0.6,0.,0.6,0.017,0.,0.017
240,1.611,0.,1.611,0.922,0.003,0.918,0.301,0.,0.301,0.202,0.003,0.198,1.304,0.,1.304,0.004,0.,0.004,0.713,0.,0.713,0.004,0.,0.004
250,1.697,0.011,1.685,0.992,0.011,0.98,0.33,0.,0.33,0.208,0.,0.208,1.361,0.011,1.349,0.004,0.,0.004,0.777,0.011,0.765,0.005,0.,0.005
260,1.924,0.003,1.92,1.101,0.016,1.085,0.33,0.,0.33,0.223,0.008,0.215,1.576,0.003,1.572,0.016,0.,0.016,0.86,0.007,0.852,0.014,0.,0.014
270,1.98,0.007,1.972,1.239,0.003,1.235,0.353,0.,0.353,0.24,0.,0.24,1.619,0.007,1.611,0.005,0.,0.005,0.992,0.003,0.988,0.005,0.,0.005
280,2.172,0.,2.172,1.213,0.,1.213,0.358,0.,0.358,0.258,0.,0.258,1.806,0.,1.806,0.005,0.,0.005,0.947,0.,0.946,0.006,0.,0.006
290,2.303,0.,2.303,1.293,0.,1.293,0.405,0.,0.405,0.278,0.,0.278,1.889,0.,1.889,0.006,0.,0.006,1.007,0.,1.007,0.006,0.,0.006
300,2.627,0.016,2.608,1.487,0.019,1.467,0.438,0.,0.438,0.308,0.,0.308,2.181,0.015,2.162,0.006,0.,0.006,1.17,0.019,1.15,0.006,0.,0.006
310,2.788,0.,2.788,1.612,0.,1.612,0.435,0.,0.435,0.315,0.,0.315,2.344,0.,2.344,0.007,0.,0.007,1.288,0.,1.288,0.007,0.,0.007
320,2.814,0.,2.814,1.694,0.,1.694,0.472,0.,0.472,0.365,0.,0.365,2.332,0.,2.332,0.007,0.,0.007,1.32,0.,1.319,0.007,0.,0.007
330,3.172,0.015,3.156,1.798,0.015,1.782,0.529,0.,0.529,0.366,0.003,0.362,2.632,0.015,2.616,0.007,0.,0.007,1.422,0.011,1.41,0.007,0.,0.007
340,3.349,0.,3.349,1.963,0.003,1.959,0.576,0.,0.576,0.416,0.,0.416,2.752,0.,2.752,0.018,0.,0.018,1.536,0.003,1.532,0.008,0.,0.008
350,3.594,0.015,3.578,2.305,0.019,2.284,0.611,0.,0.611,0.444,0.,0.444,2.973,0.015,2.956,0.008,0.,0.008,1.851,0.019,1.83,0.008,0.,0.008
360,3.703,0.011,3.691,2.082,0.,2.082,0.624,0.,0.624,0.439,0.,0.439,3.068,0.011,3.055,0.008,0.,0.008,1.628,0.,1.627,0.013,0.,0.013
370,4.019,0.,4.019,2.348,0.,2.348,0.677,0.,0.677,0.496,0.,0.496,3.33,0.,3.33,0.009,0.,0.009,1.833,0.,1.833,0.017,0.,0.017
380,4.223,0.,4.223,2.305,0.,2.304,0.65,0.,0.65,0.478,0.,0.478,3.561,0.,3.561,0.009,0.,0.009,1.81,0.,1.809,0.013,0.,0.013
390,4.485,0.,4.484,2.619,0.,2.619,0.711,0.,0.711,0.536,0.,0.536,3.757,0.,3.756,0.013,0.,0.013,2.071,0.,2.07,0.01,0.,0.01
400,5.095,0.011,5.077,2.582,0.007,2.574,0.783,0.,0.783,0.526,0.,0.526,4.291,0.011,4.273,0.019,0.,0.019,2.043,0.007,2.035,0.01,0.,0.01
