param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
703,,,,,,,0.405,0.,0.405,,,,,,,,,,,,,,,,,,,,
704,,,,0.221,0.,0.221,,,,,,,,,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.,0.014
713,,,,0.217,0.,0.217,,,,,,,,,,,,,,,,,,,,,,,
721,,,,,,,0.443,0.,0.443,,,,,,,,,,,,,,,,,,,,
739,,,,,,,0.458,0.,0.458,,,,,,,,,,,,,,,,,,,,
744,,,,0.234,0.,0.234,,,,,,,,,,,,,,,,,,,,,,,
747,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.,0.016
757,,,,,,,0.525,0.,0.525,,,,,,,,,,,,,,,,,,,,
775,,,,0.262,0.,0.262,0.531,0.,0.531,,,,,,,,,,,,,,,,,,,,
786,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.,0.019
793,,,,,,,0.541,0.015,0.525,,,,,,,,,,,,,,,,,,,,
797,,,,,,,,,,0.08583,0.00029,0.00356,0.00105,0.09,0.002,0.006,0.08400,0.00030,0.02183,0.00096,0.107,0.009,0.016,,,,,,
806,,,,0.275,0.,0.275,,,,,,,,,,,,,,,,,,,,,,,
811,,,,,,,0.557,0.003,0.553,,,,,,,,,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.,0.019
829,,,,,,,0.64,0.,0.64,,,,,,,,,,,,,,,,,,,,
837,,,,0.291,0.003,0.287,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,0.587,0.,0.587,,,,,,,,,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.,0.023
865,,,,,,,0.635,0.,0.635,,,,,,,,,,,,,,,,,,,,
868,,,,0.317,0.,0.317,,,,,,,,,,,,,,,,,,,,,,,
873,,,,,,,0.656,0.007,0.648,,,,,,,,,,,,,,,,,,,,
883,,,,,,,0.666,0.,0.666,,,,,,,,,,,,,,,,,,,,
898,,,,0.333,0.,0.333,,,,,,,,,,,,,,,,,,,,,,,
901,,,,,,,0.708,0.003,0.704,,,,,,,,,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.,0.023
911,,,,,,,,,,0.08549,0.00025,0.00411,0.00134,0.091,0.003,0.006,0.08605,0.00043,0.00423,0.00118,0.092,0.003,0.006,,,,,,
914,,,,0.335,0.,0.335,,,,,,,,,,,,,,,,,,,,,,,
929,,,,0.353,0.,0.353,,,,,,,,,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.,0.026
960,,,,0.378,0.,0.378,,,,,,,,,,,,,,,,,,,,,,,
982,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.,0.033
991,,,,0.389,0.,0.389,0.831,0.,0.831,,,,,,,,,,,,,,,,,,,,
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.,0.032
1022,,,,0.449,0.,0.449,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,0.09167,0.00030,0.00540,0.00144,0.098,0.002,0.007,0.08601,0.00035,0.00515,0.00137,0.093,0.003,0.006,,,,,,
1053,,,,0.463,0.,0.463,,,,,,,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.,0.035
1081,,,,,,,1.032,0.,1.032,,,,,,,,,,,,,,,,,,,,
1084,,,,0.507,0.,0.507,,,,,,,,,,,,,,,,,,,,,,,
1099,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.,0.034
1115,,,,0.545,0.,0.545,,,,,,,,,,,,,,,,,,,,,,,
1138,,,,,,,,,,0.08431,0.00035,0.00611,0.00146,0.092,0.,0.011,0.08530,0.00030,0.00659,0.00153,0.093,0.,0.011,,,,0.035,0.,0.035
1146,,,,0.536,0.,0.536,,,,,,,,,,,,,,,,,,,,,,,
1164,,,,,,,1.269,0.047,1.222,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,1.382,0.015,1.366,,,,,,,,,,,,,,,,,,,,
1177,,,,0.611,0.,0.611,,,,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.,0.042
1208,,,,0.637,0.,0.637,,,,,,,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.,0.042
1239,,,,0.625,0.,0.625,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,0.08543,0.00028,0.00754,0.00153,0.094,0.004,0.008,0.08528,0.00037,0.00729,0.00177,0.094,0.003,0.01,,,,,,
1256,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,0.,0.044
1261,,,,,,,1.408,0.,1.408,,,,,,,,,,,,,,,,,,,,
1269,,,,0.652,0.003,0.648,,,,,,,,,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.,0.048
1300,,,,0.664,0.,0.664,,,,,,,,,,,,,,,,,,,,,,,
1331,,,,0.71,0.,0.71,,,,,,,,,,,,,,,,,,,,,,,
1334,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.,0.048
1351,,,,,,,1.546,0.,1.546,,,,,,,,,,,,,,,,,,,,
1362,,,,0.73,0.,0.73,,,,,,,,,,,,,,,,,,,,,,,
1365,,,,,,,,,,0.08516,0.00028,0.04199,0.00157,0.129,0.003,0.043,0.09004,0.00030,0.00878,0.00170,0.1,0.004,0.009,,,,,,
1370,,,,0.738,0.003,0.734,,,,,,,,,,,,,,,,,,,,,,,
1374,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,0.,0.052
1393,,,,0.777,0.,0.776,,,,,,,,,,,,,,,,,,,,,,,
1413,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.,0.056
1424,,,,0.795,0.,0.795,,,,,,,,,,,,,,,,,,,,,,,
1441,,,,,,,1.803,0.,1.803,,,,,,,,,,,,,,,,,,,,
1452,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.,0.055
1454,,,,,,,1.9,0.027,1.872,,,,,,,,,,,,,,,,,,,,
