param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
14181,,,,,,,,,,0.09444,0.00034,0.87338,0.01766,0.986,0.007,0.887,0.09313,0.00032,0.88051,0.01739,0.991,0.007,0.894,,,,,,
14689,,,,,,,,,,0.09158,0.00036,0.88237,0.01753,0.992,0.003,0.9,0.08478,0.00050,0.90427,0.01635,1.006,0.012,0.912,,,,,,
15052,,,,,,,,,,,,,,,,,,,,,,,,,,,4.781,0.008,4.773
15363,,,,,,,,,,0.09211,0.00079,1.06161,0.01939,1.174,0.004,1.083,0.09036,0.00038,1.09570,0.01802,1.204,0.,1.118,,,,,,
16544,,,,,,,,,,0.10325,0.00035,1.17184,0.01780,1.293,0.004,1.191,0.08475,0.00046,1.13432,0.01817,1.237,0.019,1.138,,,,,,
17561,,,,,,,,,,,,,,,,,,,,,,,,,,,6.455,0.003,6.451
17726,,,,,,,,,,0.09054,0.00028,1.43998,0.02083,1.551,0.008,1.457,0.09663,0.00040,1.44985,0.02170,1.568,0.012,1.464,,,,,,
18361,,,,,,,,,,0.08842,0.00036,1.39201,0.02066,1.501,0.007,1.408,0.08748,0.00033,1.39254,0.02040,1.501,0.012,1.404,,,,,,
18908,,,,,,,,,,0.09897,0.00033,1.58934,0.02319,1.712,0.008,1.609,0.09553,0.00030,1.57187,0.02229,1.69,0.02,1.579,,,,,,
20069,,,,,,,,,,,,,,,,,,,,,,,,,,,8.593,0.,8.593
20089,,,,,,,,,,0.09006,0.00031,1.75972,0.02322,1.873,0.011,1.775,0.09173,0.00029,1.71598,0.02620,1.834,0.011,1.734,,,,,,
21271,,,,,,,,,,0.09174,0.00027,1.84279,0.02246,1.957,0.008,1.862,0.09657,0.00036,1.91947,0.02910,2.045,0.011,1.942,,,,,,
22452,,,,,,,,,,0.09155,0.00030,2.13362,0.02512,2.25,0.011,2.151,0.08703,0.00030,2.13299,0.02658,2.247,0.012,2.152,,,,,,
22578,,,,,,,,,,,,,,,,,,,,,,,,,,,10.929,0.003,10.924
23634,,,,,,,,,,0.09735,0.00050,2.44604,0.03273,2.576,0.015,2.468,0.09948,0.00035,2.41756,0.02522,2.542,0.007,2.44,,,,,,
25086,,,,,,,,,,,,,,,,,,,,,,,,,,,13.318,0.008,13.309
28361,,,,,,,,,,0.09209,0.00027,3.35082,0.03089,3.474,0.,3.386,0.08580,0.00028,3.38674,0.03197,3.505,0.003,3.418,,,,,,
33087,,,,,,,,,,0.08747,0.00030,4.83742,0.03924,4.964,0.011,4.869,0.09344,0.00034,4.62438,0.03767,4.756,0.008,4.659,,,,,,
37814,,,,,,,,,,0.09104,0.00039,5.98055,0.05638,6.128,0.004,6.038,0.09528,0.00037,6.38082,0.05100,6.527,0.008,6.428,,,,,,
42540,,,,,,,,,,0.10111,0.00047,7.46445,0.04707,7.613,0.011,7.506,0.11022,0.00051,7.65234,0.06722,7.83,0.02,7.705,,,,,,
47267,,,,,,,,,,0.09369,0.00033,9.43655,0.08240,9.613,0.023,9.502,0.09058,0.00032,9.13037,0.08072,9.302,0.008,9.208,,,,,,
