param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
114,114,1,,,,,,,,,,0.12420,0.00033,0.00091,0.00057,0.126,0.004,0.001,,,,0.,0.,0.,,,,,,,,,
117,1,117,0.176,0.,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,117,1,0.089,0.,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1,120,,,,,,,,,,,,,,,,,0.049,0.,0.049,,,,,,,,,,,,
120,120,1,,,,,,,,,,,,,,,,,0.026,0.,0.026,,,,,,,,,,,,
122,1,122,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
122,122,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
123,1,123,0.183,0.,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,123,1,0.092,0.,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1,129,0.244,0.,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,129,1,0.131,0.,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1,131,,,,,,,,,,,,,,,,,0.058,0.,0.058,,,,,,,,,,,,
131,131,1,,,,,,,,,,,,,,,,,0.03,0.,0.03,,,,,,,,,,,,
132,11,12,0.013,0.,0.013,0.,0.,0.,0.,0.,0.,,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
135,1,135,0.247,0.,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,135,1,0.131,0.,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1,141,,,,,,,,,,,,,,,,,0.066,0.,0.066,,,,,,,,,,,,
141,141,1,,,,,,,,,,,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
150,1,150,,,,,,,,,,0.12611,0.00033,0.00093,0.00060,0.128,0.002,0.003,,,,0.,0.,0.,,,,,,,,,
150,150,1,,,,,,,,,,0.12455,0.00033,0.00090,0.00073,0.126,0.004,0.001,,,,0.,0.,0.,,,,,,,,,
151,1,151,,,,,,,,,,,,,,,,,0.073,0.,0.073,,,,,,,,,,,,
151,151,1,,,,,,,,,,,,,,,,,0.034,0.,0.034,,,,,,,,,,,,
156,12,13,0.015,0.,0.015,,,,,,,0.12691,0.00033,0.00115,0.00060,0.129,0.006,0.,0.012,0.,0.012,0.,0.,0.,,,,,,,,,
157,1,157,0.283,0.,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,157,1,0.148,0.,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,162,,,,,,,,,,,,,,,,,0.082,0.,0.082,,,,,,,,,,,,
162,162,1,,,,,,,,,,,,,,,,,0.039,0.,0.039,,,,,,,,,,,,
172,1,172,,,,,,,,,,,,,,,,,0.093,0.,0.093,,,,,,,,,,,,
172,172,1,,,,,,,,,,,,,,,,,0.041,0.,0.041,,,,,,,,,,,,
180,1,180,0.355,0.,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,180,1,0.186,0.,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1,181,,,,0.055,0.001,0.053,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
181,181,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,
182,1,182,,,,,,,,,,,,,,,,,0.101,0.,0.101,,,,,,,,,,,,
182,13,14,0.02,0.,0.02,0.,0.,0.,0.,0.,0.,0.13065,0.00032,0.00096,0.00071,0.132,0.004,0.002,0.014,0.,0.014,0.,0.,0.,,,,,,,,,
182,182,1,,,,,,,,,,,,,,,,,0.043,0.,0.043,,,,,,,,,,,,
185,1,185,,,,,,,,,,0.13052,0.00032,0.00112,0.00069,0.132,0.002,0.003,,,,0.,0.,0.,,,,,,,,,
