param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
81,0.127,0.,0.127,0.08,0.,0.08,0.041,0.,0.041,0.033,0.,0.033,0.084,0.,0.084,0.,0.,0.,0.045,0.,0.045,0.,0.,0.
82,0.137,0.003,0.133,0.082,0.,0.082,0.044,0.,0.044,0.034,0.,0.034,0.091,0.002,0.088,0.,0.,0.,0.046,0.,0.046,0.,0.,0.
83,0.135,0.,0.135,0.085,0.,0.085,0.045,0.,0.045,0.035,0.,0.035,0.088,0.,0.088,0.,0.,0.,0.048,0.,0.048,0.,0.,0.
84,0.136,0.,0.136,0.085,0.,0.085,0.043,0.,0.043,0.035,0.,0.035,0.091,0.,0.091,0.,0.,0.,0.048,0.,0.048,0.,0.,0.
85,0.142,0.,0.142,0.084,0.,0.084,0.045,0.,0.045,0.034,0.,0.034,0.095,0.,0.095,0.,0.,0.,0.048,0.,0.048,0.,0.,0.
86,0.145,0.,0.144,0.086,0.,0.086,0.047,0.,0.047,0.034,0.,0.034,0.095,0.,0.095,0.,0.,0.,0.05,0.,0.05,0.,0.,0.
87,0.147,0.,0.147,0.091,0.,0.091,0.047,0.,0.047,0.036,0.,0.036,0.098,0.,0.098,0.,0.,0.,0.053,0.,0.053,0.,0.,0.
88,0.153,0.,0.153,0.094,0.003,0.09,0.049,0.,0.049,0.038,0.003,0.034,0.102,0.,0.102,0.,0.,0.,0.054,0.,0.054,0.,0.,0.
89,0.158,0.,0.158,0.098,0.,0.098,0.049,0.,0.049,0.038,0.,0.038,0.107,0.,0.107,0.,0.,0.,0.058,0.,0.058,0.,0.,0.
90,0.168,0.,0.168,0.105,0.,0.105,0.053,0.,0.053,0.042,0.,0.042,0.112,0.,0.112,0.,0.,0.,0.061,0.,0.061,0.,0.,0.
91,0.172,0.,0.172,0.106,0.,0.106,0.062,0.,0.062,0.045,0.,0.045,0.109,0.,0.109,0.,0.,0.,0.059,0.,0.059,0.,0.,0.
92,0.173,0.,0.173,0.101,0.,0.101,0.058,0.,0.058,0.041,0.,0.041,0.113,0.,0.113,0.,0.,0.,0.058,0.,0.058,0.,0.,0.
93,0.18,0.,0.18,0.102,0.,0.102,0.06,0.,0.06,0.04,0.,0.04,0.117,0.,0.117,0.,0.,0.,0.06,0.,0.06,0.,0.,0.
94,0.182,0.,0.182,0.111,0.,0.111,0.062,0.,0.062,0.043,0.,0.043,0.118,0.,0.118,0.,0.,0.,0.067,0.,0.067,0.,0.,0.
95,0.186,0.,0.186,0.108,0.,0.108,0.064,0.,0.064,0.043,0.,0.043,0.121,0.,0.121,0.,0.,0.,0.063,0.,0.063,0.001,0.,0.001
96,0.192,0.,0.192,0.107,0.,0.107,0.066,0.,0.066,0.043,0.,0.043,0.123,0.,0.123,0.,0.,0.,0.062,0.,0.062,0.,0.,0.
97,0.204,0.003,0.2,0.111,0.,0.111,0.065,0.003,0.061,0.042,0.,0.042,0.126,0.,0.126,0.011,0.,0.011,0.067,0.,0.067,0.,0.,0.
98,0.205,0.,0.205,0.111,0.,0.111,0.062,0.,0.062,0.043,0.,0.043,0.141,0.,0.14,0.,0.,0.,0.066,0.,0.066,0.,0.,0.
99,0.187,0.,0.187,0.116,0.,0.116,0.062,0.,0.062,0.045,0.,0.045,0.123,0.,0.123,0.,0.,0.,0.069,0.,0.069,0.,0.,0.
100,0.2,0.,0.2,0.115,0.,0.115,0.07,0.,0.07,0.045,0.,0.045,0.128,0.,0.128,0.,0.,0.,0.069,0.,0.068,0.001,0.,0.001
110,0.233,0.,0.233,0.142,0.003,0.138,0.077,0.,0.077,0.057,0.003,0.053,0.153,0.,0.153,0.001,0.,0.001,0.083,0.,0.083,0.001,0.,0.001
120,0.282,0.,0.282,0.167,0.,0.167,0.096,0.,0.096,0.065,0.,0.065,0.183,0.,0.183,0.001,0.,0.001,0.099,0.,0.099,0.001,0.,0.001
130,0.336,0.007,0.328,0.194,0.,0.194,0.107,0.003,0.103,0.077,0.,0.077,0.226,0.003,0.222,0.001,0.,0.001,0.114,0.,0.114,0.001,0.,0.001
140,0.384,0.,0.384,0.229,0.,0.229,0.123,0.,0.123,0.092,0.,0.092,0.258,0.,0.258,0.001,0.,0.001,0.133,0.,0.133,0.001,0.,0.001
