param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
4547,,,,,,,,,,0.295,0.,0.295,0.297,0.,0.297,,,,,,
4555,,,,5.544,0.,5.543,,,,,,,,,,,,,,,
4574,,,,,,,,,,,,,,,,,,,0.297,0.,0.297
4660,,,,,,,,,,0.309,0.,0.309,0.312,0.,0.312,,,,,,
4705,,,,,,,,,,,,,,,,,,,0.312,0.,0.312
4774,,,,,,,,,,0.322,0.,0.322,0.327,0.,0.326,,,,,,
4836,,,,,,,,,,,,,,,,,,,0.33,0.,0.33
4887,,,,,,,,,,0.338,0.,0.338,0.342,0.,0.342,,,,,,
4966,,,,,,,,,,,,,,,,,,,0.347,0.,0.346
5001,,,,,,,,,,0.353,0.,0.353,0.354,0.,0.354,,,,,,
5097,,,,,,,,,,,,,,,,,,,0.365,0.,0.365
5115,,,,,,,,,,0.371,0.,0.371,0.369,0.,0.369,,,,,,
5124,,,,7.015,0.003,7.01,,,,,,,,,,,,,,,
5228,,,,,,,,,,0.385,0.,0.385,0.387,0.,0.387,,,,0.383,0.,0.382
5342,,,,,,,,,,0.402,0.,0.402,0.403,0.,0.403,,,,,,
5358,,,,,,,,,,,,,,,,,,,0.403,0.,0.403
5456,,,,,,,,,,0.419,0.,0.418,0.42,0.,0.42,,,,,,
5489,,,,,,,,,,,,,,,,,,,0.419,0.,0.419
5569,,,,,,,,,,0.437,0.003,0.433,0.437,0.,0.437,,,,,,
5620,,,,,,,,,,,,,,,,,,,0.457,0.,0.457
5683,,,,,,,,,,0.455,0.,0.455,0.461,0.,0.459,,,,,,
5693,,,,8.755,0.007,8.747,,,,,,,,,,,,,,,
5750,,,,,,,,,,,,,,,,,,,0.461,0.,0.461
5796,,,,,,,,,,0.472,0.,0.472,0.477,0.,0.476,,,,,,
5881,,,,,,,,,,,,,,,,,,,0.48,0.,0.48
5910,,,,,,,,,,0.491,0.,0.491,0.495,0.,0.495,,,,,,
6012,,,,,,,,,,,,,,,,,,,0.502,0.,0.502
6034,,,,,,,,,,,,,,,,,,,0.506,0.,0.506
6142,,,,,,,,,,,,,,,,,,,0.523,0.,0.523
6221,,,,,,,,,,0.54,0.,0.54,0.543,0.004,0.538,,,,,,
6273,,,,,,,,,,,,,,,,,,,0.545,0.002,0.542
6532,,,,,,,,,,0.592,0.003,0.588,0.594,0.,0.594,,,,,,
6843,,,,,,,,,,0.646,0.,0.646,0.651,0.,0.65,,,,,,
6900,,,,,,,,,,,,,,,,,,,0.656,0.,0.656
7154,,,,,,,,,,0.705,0.,0.705,0.706,0.,0.706,,,,,,
7346,,,,,,,,,,0.752,0.,0.752,0.759,0.,0.759,,,,,,
7465,,,,,,,,,,0.766,0.,0.766,0.772,0.003,0.768,,,,,,
7527,,,,,,,,,,,,,,,,,,,0.778,0.003,0.774
7776,,,,,,,,,,0.829,0.,0.829,0.838,0.011,0.826,,,,,,
8045,,,,,,,,,,,,,,,,,,,0.907,0.,0.906
8087,,,,,,,,,,0.896,0.,0.896,0.911,0.004,0.9,,,,,,
8154,,,,,,,,,,,,,,,,,,,0.906,0.,0.906
8398,,,,,,,,,,0.967,0.,0.967,0.973,0.003,0.969,,,,,,
8709,,,,,,,,,,1.037,0.008,1.029,1.048,0.003,1.042,,,,,,
8781,,,,,,,,,,,,,,,,,,,1.051,0.,1.051
9019,,,,,,,,,,1.118,0.,1.117,1.116,0.,1.115,,,,,,
9330,,,,,,,,,,1.188,0.003,1.184,1.189,0.,1.189,,,,,,
9409,,,,,,,,,,,,,,,,,,,1.201,0.,1.201
9641,,,,,,,,,,1.27,0.004,1.266,1.281,0.,1.281,,,,,,
9952,,,,,,,,,,1.409,0.,1.409,1.366,0.003,1.362,,,,,,
10036,,,,,,,,,,,,,,,,,,,1.363,0.,1.362
10056,,,,,,,,,,,,,,,,,,,1.504,0.,1.504
10263,,,,,,,,,,1.434,0.007,1.426,1.445,0.,1.441,,,,,,
10574,,,,,,,,,,1.531,0.,1.529,1.529,0.,1.529,,,,,,
10663,,,,,,,,,,,,,,,,,,,1.537,0.,1.537
10885,,,,,,,,,,1.613,0.003,1.609,1.612,0.,1.611,,,,,,
11017,,,,,,,,,,1.816,0.,1.816,1.674,0.,1.674,,,,,,
11196,,,,,,,,,,1.704,0.,1.703,1.707,0.,1.707,,,,,,
11290,,,,,,,,,,,,,,,,,,,1.721,0.,1.721
11507,,,,,,,,,,1.791,0.,1.79,1.795,0.,1.795,,,,,,
11818,,,,,,,,,,1.881,0.,1.881,1.886,0.,1.885,,,,,,
11917,,,,,,,,,,,,,,,,,,,1.913,0.003,1.909
12544,,,,,,,,,,,,,,,,,,,2.116,0.,2.116
13000,,,,,,,,,,2.273,0.,2.273,2.285,0.,2.284,,,,,,
14181,,,,,,,,,,2.702,0.,2.702,2.711,0.,2.711,,,,,,
14689,,,,,,,,,,3.081,0.003,3.077,2.914,0.,2.913,,,,,,
15052,,,,,,,,,,,,,,,,,,,3.037,0.,3.037
15363,,,,,,,,,,3.168,0.003,3.163,3.182,0.003,3.176,,,,,,
16544,,,,,,,,,,3.668,0.,3.668,3.662,0.,3.661,,,,,,
17561,,,,,,,,,,,,,,,,,,,4.114,0.003,4.109
17726,,,,,,,,,,4.186,0.,4.185,4.198,0.,4.195,,,,,,
18361,,,,,,,,,,4.503,0.007,4.493,4.518,0.008,4.51,,,,,,
18908,,,,,,,,,,4.751,0.,4.75,4.774,0.,4.774,,,,,,
20069,,,,,,,,,,,,,,,,,,,5.375,0.003,5.371
20089,,,,,,,,,,5.378,0.007,5.369,5.376,0.,5.376,,,,,,
21271,,,,,,,,,,6.022,0.011,6.01,6.,0.003,5.994,,,,,,
22452,,,,,,,,,,6.676,0.004,6.671,6.706,0.003,6.7,,,,,,
22578,,,,,,,,,,,,,,,,,,,6.796,0.,6.796
23634,,,,,,,,,,7.408,0.004,7.403,7.406,0.,7.403,,,,,,
25086,,,,,,,,,,,,,,,,,,,8.373,0.011,8.36
28361,,,,,,,,,,10.595,0.007,10.586,10.616,0.007,10.606,,,,,,
33087,,,,,,,,,,14.353,0.003,14.345,14.379,0.004,14.373,,,,,,
37814,,,,,,,,,,18.803,0.004,18.795,18.761,0.011,18.745,,,,,,
42540,,,,,,,,,,23.716,0.,23.713,23.735,0.007,23.721,,,,,,
47267,,,,,,,,,,29.215,0.007,29.195,29.252,0.003,29.242,,,,,,
