param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2562,,,,2.371,0.003,2.368,,,,,,,,,,,,,,,
2588,,,,,,,,,,,,,,,,,,,0.142,0.,0.142
2615,,,,,,,,,,0.134,0.003,0.038,0.127,0.003,0.036,,,,,,
2628,,,,,,,,,,,,,,,,,,,0.146,0.,0.146
2667,,,,,,,,,,,,,,,,,,,0.151,0.,0.151
2705,,,,3.149,0.002,3.147,,,,,,,,,,,,,,,
2706,,,,,,,,,,,,,,,,,,,0.161,0.003,0.158
2729,,,,,,,,,,0.134,0.003,0.041,0.124,0.007,0.032,,,,,,
2745,,,,,,,,,,,,,,,,,,,0.155,0.,0.155
2784,,,,,,,,,,,,,,,,,,,0.16,0.,0.16
2824,,,,,,,,,,,,,,,,,,,0.163,0.,0.163
2842,,,,,,,,,,0.13,0.003,0.042,0.127,0.,0.041,,,,,,
2847,,,,2.832,0.003,2.828,,,,,,,,,,,,,,,
2863,,,,,,,,,,,,,,,,,,,0.172,0.,0.172
2881,,,,,,,8.611,0.09,8.52,,,,,,,,,,,,
2902,,,,,,,,,,,,,,,,,,,0.175,0.,0.175
2941,,,,,,,,,,,,,,,,,,,0.181,0.003,0.177
2956,,,,,,,,,,0.135,0.003,0.046,0.133,0.003,0.042,,,,,,
2980,,,,,,,,,,,,,,,,,,,0.185,0.,0.185
3019,,,,,,,,,,,,,,,,,,,0.196,0.,0.196
3059,,,,,,,,,,,,,,,,,,,0.194,0.,0.194
